weights (48.0,1.0,2.0) scale c=1.0000 (1) rho=0.05 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.300 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.641 0.447 0.424 0.07
     2 0.777 0.522 0.369 0.07
     4 0.902 0.597 0.316 0.10
     9 1.061 0.687 0.263 0.10
    18 1.186 0.739 0.217 0.12
    38 1.345 0.764 0.210 0.13
    79 1.597 0.798 0.184 0.30
   163 1.977 0.854 0.155 0.27
   338 2.397 0.893 0.138 0.21
   700 2.800 0.935 0.106 0.31
  1449 3.257 0.952 0.061 0.42
  3000 3.484 0.954 0.073 0.60
SUMMARY: p=48.0 q=1.0 r=2.0 c=1.0000 rho=0.05 L=24 nbrs=3.474 nbrs_over_random=11.579 aligned=0.949 S=0.48 accept=0.060 records=705 seconds=118
