weights (24.0,1.0,2.0) scale c=0.1818 (neutral) rho=0.1 L=24 sweeps=3000 seed=1 mode=parallel; random baseline: nbrs=0.600 aligned=0.1667
sweep  nbrs  aligned  accept  S
     1 0.494 0.577 0.420 0.12
     2 0.552 0.655 0.386 0.16
     4 0.526 0.733 0.373 0.21
     9 0.623 0.692 0.371 0.16
    18 0.606 0.719 0.374 0.11
    38 0.643 0.731 0.376 0.11
    79 0.686 0.768 0.370 0.15
   163 0.569 0.753 0.369 0.03
   338 0.682 0.756 0.358 0.15
   700 0.613 0.755 0.368 0.11
  1449 0.735 0.729 0.372 0.10
  3000 0.612 0.728 0.372 0.08
SUMMARY: p=24.0 q=1.0 r=2.0 c=0.1818 rho=0.1 L=24 nbrs=0.628 nbrs_over_random=1.047 aligned=0.744 S=0.09 accept=0.369 records=1396 seconds=116
