block,rho,S_x1,S_x2,S_xy1,S_xy2,flux_x,flux_y,flux_z
0,0.75320697052248586,0.35642276926304212,0.4697300231033304,0.62828510433283458,0.34416459653630438,-33.6875,-49,142.40625
1,0.75211766037110372,0.32045559781290567,0.21734950587054133,0.41900927886893619,0.32913185182540483,-27.1796875,-44.40625,307.3984375
2,0.75288935466939744,0.33467190320685486,0.17695283967560232,0.29122145098483937,0.21268015784075728,-260.6953125,-110.6328125,-190.2578125
3,0.75314089739394341,0.27676749576671505,0.18102314381385123,0.48754268242220677,0.66039304292696765,-122.1171875,-77.328125,182.21875
4,0.75345313442953166,0.5132797323755659,0.28143145927673979,0.93552142966167773,0.32642997894987463,211.6953125,-53.59375,-216.671875
5,0.75392899376535272,0.27473968364467782,0.53764427049010288,0.55725022891683529,0.41564966881436333,13.015625,136.28125,60.1015625
6,0.75447975811524104,0.36123915763185288,0.25249317335480215,0.25939658047704567,0.49889095535548095,-75.03125,19.140625,266.8203125
7,0.75456993631480096,0.3968858771886899,0.45233070334816866,0.30342299752482688,0.21328759835514349,-132.453125,19.5234375,3.0625
8,0.7540985925294722,0.30458430199325176,0.39469175079619917,0.58946721018065262,0.32415777714253874,65.078125,24.8828125,143.171875
9,0.75443214561959704,0.26267291838950602,0.41212330166268035,0.20744007415303051,0.40526653693330639,106.8046875,78.859375,24.8828125
10,0.7540811943790432,0.58151304221001876,0.27953945226586119,0.46748122545523196,0.2179093555850834,-67.7578125,-117.90625,22.96875
11,0.75320026360189907,0.30854066801518237,0.23097142139279961,0.33096043967512606,0.38103068254715755,138.1953125,19.5234375,129.7734375
12,0.75269711174765508,0.21047562836300843,0.74701881726093966,0.30558747672829722,0.20252615942839328,24.8828125,-42.4921875,-77.328125
13,0.75453560485001903,0.35343762897647096,0.38901113136031856,0.30414227179295467,0.26883257270941208,-168.8203125,-152.359375,87.6640625
14,0.7540989245552453,0.39733077385115306,0.22150787456222534,0.1940186393850328,0.41459420687426607,-70.8203125,-62.015625,337.2578125
15,0.75382208146690477,0.52910729711965376,0.36531850312213165,0.46986525770688414,0.34923188716629772,-147,233.1328125,-300.890625
16,0.75423432466489326,0.37481635611342007,0.2533964994682868,0.43333045312890728,0.17719133061162384,-168.4375,233.1328125,5.359375
17,0.75435836949315427,0.3392408016373481,0.34983234151897646,0.36220031581415085,0.55220065756385084,224.7109375,-110.25,-9.953125
