block,rho,S_x1,S_x2,S_xy1,S_xy2,flux_x,flux_y,flux_z
0,0.75382505321813165,0.18541652551918947,0.40489294198160231,0.40439355006101746,0.68456832550507185,24.75,-65.484375,18.8203125
1,0.75293830175028287,0.40748885118728945,0.33863754739428403,0.32003777602753353,0.33284199422104066,-19.3359375,-35.0625,-21.3984375
2,0.7552944214876034,0.40906721921954708,0.29175067490691259,0.56743214431954292,0.48753576987283564,31.453125,-40.21875,21.140625
3,0.75277069072265335,0.5087716898708573,0.50866589982353039,0.25394509150844968,0.63365954366781085,40.734375,-19.3359375,73.734375
4,0.75308721686562596,0.40455623237042793,0.37760208239843912,0.35702279302614376,0.83480727310982583,88.9453125,-29.6484375,-12.6328125
5,0.75422505878342638,0.21243520754114287,0.28763343299460886,0.38616261221429021,0.42408624154238805,40.9921875,164.7421875,71.9296875
6,0.75292851900548063,0.46833401726176754,0.31320319225276205,0.24644655488764133,0.42727828615015573,-0.515625,160.359375,-51.3046875
7,0.75452680211202849,0.17928418916120439,0.30933787357570502,0.3154648162382569,0.24220517141008138,0.2578125,115.2421875,9.0234375
8,0.75384200997579009,0.22808604225682394,0.31834272542997261,0.52387805096258788,0.37839518120237153,-70.640625,-10.828125,-46.6640625
9,0.75385135793193614,0.24945226476031937,0.35968337450681964,0.4080674031887685,0.45350518093619407,-125.8125,-5.4140625,-87.9140625
10,0.75349200510615777,0.37176885505189522,0.44589488641539776,0.53933742976437649,0.61032760986532419,12.375,-103.8984375,-9.796875
11,0.75406570874029488,0.32036022354003224,0.39895849489743868,0.42267642144462064,0.23484698892321265,17.2734375,116.2734375,47.953125
12,0.75368026859504178,0.38318475227910753,0.3033575368834398,0.49583891271853697,0.2129344057944946,-66.2578125,64.7109375,-71.9296875
13,0.75318243558171216,0.37161653026604025,0.46108942335798192,0.35754897191050311,0.31698380317081104,-72.9609375,-31.7109375,8.5078125
14,0.75124393035033421,0.4141436171390328,0.12638483312188853,0.32057681660042603,0.42210078117484567,-254.203125,92.5546875,44.6015625
15,0.75204002838300343,0.31607322916105557,0.3668847583360082,0.39616156254096746,0.4945852977146224,-39.4453125,158.8125,42.0234375
16,0.7559013864540729,0.10634023110161504,0.28278484080042948,0.34537324808613773,0.30915267575587518,-122.71875,-56.9765625,31.1953125
17,0.75464354286668378,0.79056102121074112,0.29238835112315475,0.51400046232224661,0.27972830947293287,93.328125,-171.1875,118.59375
18,0.75256481829312416,0.27073375031688157,0.43150826402584147,0.48011844810956578,0.87431106749731313,5.15625,-73.21875,27.328125
19,0.75262394955060141,0.44955439129353186,0.18004324924005874,0.32539978839269912,0.27643300030126094,56.4609375,37.8984375,160.359375
20,0.75234807614714772,0.33793091099058242,0.38841217229934849,0.28477102497210671,0.17060130249228903,85.078125,-58.265625,87.9140625
21,0.75357178882488673,0.24143345601219837,0.29368034799740023,0.29685452233439846,0.27501160405250075,17.015625,48.46875,-71.671875
22,0.75323895810724373,0.35189447219895664,0.26458634208861181,0.3153335575892186,0.33323206280498041,-1.03125,-34.8046875,-157.265625
23,0.75404027360380466,0.38669552841122112,0.2767315790630257,0.45060800451511684,0.33550811145379833,-69.3515625,13.921875,27.328125
24,0.7558602989258989,0.44842628395654599,0.25396944614899269,0.23545966023856835,0.63367419193613272,-34.8046875,6.703125,-28.359375
25,0.75513811496507754,0.27674021562366813,0.17630414963830929,0.29685123481114123,0.46463270909207383,90.75,-67.8046875,56.71875
26,0.7537154864763348,0.20943294650455005,0.30323719738645472,0.25501741319285687,0.30785458332792903,3.09375,-61.359375,68.3203125
27,0.74908542205804673,0.30222432969090779,0.31174076013961094,0.17411014948217904,0.22012585207035706,-113.6953125,-79.921875,-47.953125
28,0.7545924551993779,0.22952291656037946,0.31335572861201444,0.3429074426707952,0.5474794536248041,55.6875,-19.59375,-32.7421875
29,0.75413505753123566,0.40375870369325473,0.31495549824320568,0.21262010221671049,0.63696396793268739,14.1796875,-41.765625,-55.6875
30,0.75572073176670262,0.46442971089821794,0.53981231490746018,0.36605778282154539,0.5552949105939512,9.5390625,33.2578125,27.5859375
31,0.75340309082561052,0.35546312029131977,0.55318947986641176,0.33954904466751534,0.77186224604183717,41.5078125,-100.546875,84.8203125
32,0.75504007012271579,0.44334002353496132,0.44833778906094562,0.7652420465478017,0.29058828025497208,43.3125,-63.9375,-29.90625
33,0.75382331406350145,0.34953837546206329,0.76102895133343662,0.32603738804972909,0.6153376203940697,31.453125,-32.484375,-79.6640625
34,0.75402722994407012,0.35559869952601819,0.49850477828379142,0.41417892596082556,0.27551978715847514,-56.203125,-102.3515625,11.859375
35,0.75290786654422992,0.45016300804943404,0.21998858677417205,0.34952298313169872,0.2240662518660351,-67.2890625,34.8046875,140.25
36,0.75307743412082229,0.49592330572254478,0.3412103293833455,0.39912763173927335,0.2695680364153058,-5.671875,33,-12.375
37,0.75381831399393429,0.32558629889438712,0.3071021915427839,0.20103186913361662,0.31316922775482475,145.921875,-69.09375,28.875
38,0.75404723022233378,0.50220626362944942,0.40909901973517865,0.26659570593193205,0.26794993582906429,70.8984375,-97.453125,89.71875
39,0.75453484570220097,0.28508340327575199,0.31818052696119803,0.29564857028020608,0.34066671412358179,56.203125,-18.5625,42.796875
40,0.75205524598603113,0.31917368592082734,0.29554142226588198,0.30281328103409594,0.23285822874961173,21.65625,-12.890625,2.0625
41,0.7544365834655099,0.7438994123491911,0.73634961614770866,0.22445703514922974,0.67543838753430285,105.703125,15.984375,-44.34375
42,0.75303634659264806,0.32140514877680604,0.45578433095332582,0.17182017919745982,0.23249930566862623,-75.5390625,4.640625,0.515625
43,0.75488680712079426,0.40748583629355328,0.24459644411242834,0.27920585216423766,0.35095410323555859,-71.4140625,11.0859375,-27.0703125
44,0.75467376067840874,0.4829901848638582,0.45515241217698177,0.4851422762722552,0.41019229004822033,35.0625,-22.9453125,-57.234375
45,0.7538572275788179,0.320194003069179,0.21177467321488067,0.28868337898898816,0.6423263859976146,35.578125,113.6953125,54.140625
46,0.75409092648245568,0.38567275103793536,0.27367654704326533,0.25219526943890391,0.26077244415119866,159.328125,-14.4375,-22.6875
47,0.75476897939449461,0.2588067273989838,0.13982714379578889,0.33176733496892824,0.33671804692238905,-86.3671875,14.1796875,72.9609375
48,0.75318373994768573,0.22711921674933394,0.47094088541663393,0.30032692321848636,0.2505061966696645,-33.515625,2.3203125,-31.453125
49,0.75441440924395464,0.46416894141553638,0.43803865363834799,0.37518702460138637,0.23861251497252414,224.296875,-12.1171875,-33.2578125
50,0.75345809159084021,0.27016163167778384,0.28573005267752921,0.2819040481261027,0.28764363347200256,-34.546875,109.3125,17.7890625
51,0.75273699460166488,0.24023953338451084,0.36931756029547641,0.22733053083046126,0.20268346752000305,-120.140625,-12.6328125,-127.1015625
52,0.7530289551854632,0.44562448085455952,0.35173968271347439,0.29013548225311997,0.39104772618167877,34.546875,28.875,-4.3828125
53,0.75275525572529622,0.20571080502707773,0.32195169798053291,0.31791434829363618,0.46576556295748739,35.0625,-12.890625,24.75
54,0.75224394426357211,0.41539111699548625,0.32354864330859145,0.16211816113226535,0.55760111913815991,86.8828125,-25.0078125,52.078125
55,0.75251199147118542,0.2177986579446434,0.43414524962287981,0.53608055176344926,0.27433924323973141,-102.8671875,-6.1875,130.453125
56,0.75253090477780504,0.30942917117258084,0.64508081377455517,0.28136094978899112,0.31816954381135648,59.0390625,-7.734375,66.2578125
57,0.75064261763642015,0.1943199520485886,0.60826180416903708,0.33785114541518058,0.14874191340210813,46.40625,-84.8203125,36.3515625
58,0.75411636161894513,0.42513673655099116,0.48189662547556988,0.41131752149772882,0.42518040612496066,8.5078125,-185.3671875,-25.0078125
59,0.75351787503130485,0.59781482525280893,0.68598723600552758,0.17897761379182736,0.4838290688528723,-46.921875,48.7265625,43.0546875
60,0.75487767655897753,0.48799518915815165,0.40134289459612899,0.34288491846925367,0.29947982850243665,-52.078125,101.3203125,7.734375
61,0.7549168075381909,0.57677529870485411,0.43776423092098943,0.56641962427519243,0.38947475282780653,70.3828125,99.7734375,-40.4765625
62,0.75445288804018074,0.48431655223815162,0.594955504814761,0.30659809292955575,0.1807713746562456,-108.796875,145.6640625,-81.46875
63,0.75403744747752988,0.45590952947530927,0.51377238436463268,0.51796724005444361,0.26752131864139561,19.8515625,30.421875,106.4765625
64,0.7540291864930303,0.47229676707532869,0.3666179946333063,0.3573139526965004,0.47846721119099939,95.390625,-32.7421875,9.5390625
65,0.75391266313270444,0.30707404954708195,0.31834677710219494,0.4976841025482644,0.2131539853892859,103.8984375,84.046875,-92.0390625
66,0.75460289012716686,0.56111910135971388,0.39225845683595756,0.25241727114854862,0.36452686903275028,64.96875,-89.4609375,48.984375
67,0.75360091966496845,0.36592267655477068,0.25493637561890065,0.16110440648407626,0.30281746204029075,-68.0625,20.625,-88.171875
