PR #8026: A=RS, P=2(R+S) for an R x S plaquette rectangle
  R=1 S=1: area 1 (RS=1), perimeter 4 (2(R+S)=4)
  R=1 S=2: area 2 (RS=2), perimeter 6 (2(R+S)=6)
  R=1 S=3: area 3 (RS=3), perimeter 8 (2(R+S)=8)
  R=1 S=4: area 4 (RS=4), perimeter 10 (2(R+S)=10)
  R=1 S=5: area 5 (RS=5), perimeter 12 (2(R+S)=12)
  R=1 S=6: area 6 (RS=6), perimeter 14 (2(R+S)=14)
  R=1 S=7: area 7 (RS=7), perimeter 16 (2(R+S)=16)
  R=1 S=8: area 8 (RS=8), perimeter 18 (2(R+S)=18)
  R=2 S=1: area 2 (RS=2), perimeter 6 (2(R+S)=6)
  R=2 S=2: area 4 (RS=4), perimeter 8 (2(R+S)=8)
  R=2 S=3: area 6 (RS=6), perimeter 10 (2(R+S)=10)
  R=2 S=4: area 8 (RS=8), perimeter 12 (2(R+S)=12)
  R=2 S=5: area 10 (RS=10), perimeter 14 (2(R+S)=14)
  R=2 S=6: area 12 (RS=12), perimeter 16 (2(R+S)=16)
  R=2 S=7: area 14 (RS=14), perimeter 18 (2(R+S)=18)
  R=2 S=8: area 16 (RS=16), perimeter 20 (2(R+S)=20)
  R=3 S=1: area 3 (RS=3), perimeter 8 (2(R+S)=8)
  R=3 S=2: area 6 (RS=6), perimeter 10 (2(R+S)=10)
  R=3 S=3: area 9 (RS=9), perimeter 12 (2(R+S)=12)
  R=3 S=4: area 12 (RS=12), perimeter 14 (2(R+S)=14)
  R=3 S=5: area 15 (RS=15), perimeter 16 (2(R+S)=16)
  R=3 S=6: area 18 (RS=18), perimeter 18 (2(R+S)=18)
  R=3 S=7: area 21 (RS=21), perimeter 20 (2(R+S)=20)
  R=3 S=8: area 24 (RS=24), perimeter 22 (2(R+S)=22)
  R=4 S=1: area 4 (RS=4), perimeter 10 (2(R+S)=10)
  R=4 S=2: area 8 (RS=8), perimeter 12 (2(R+S)=12)
  R=4 S=3: area 12 (RS=12), perimeter 14 (2(R+S)=14)
  R=4 S=4: area 16 (RS=16), perimeter 16 (2(R+S)=16)
  R=4 S=5: area 20 (RS=20), perimeter 18 (2(R+S)=18)
  R=4 S=6: area 24 (RS=24), perimeter 20 (2(R+S)=20)
  R=4 S=7: area 28 (RS=28), perimeter 22 (2(R+S)=22)
  R=4 S=8: area 32 (RS=32), perimeter 24 (2(R+S)=24)
  R=5 S=1: area 5 (RS=5), perimeter 12 (2(R+S)=12)
  R=5 S=2: area 10 (RS=10), perimeter 14 (2(R+S)=14)
  R=5 S=3: area 15 (RS=15), perimeter 16 (2(R+S)=16)
  R=5 S=4: area 20 (RS=20), perimeter 18 (2(R+S)=18)
  R=5 S=5: area 25 (RS=25), perimeter 20 (2(R+S)=20)
  R=5 S=6: area 30 (RS=30), perimeter 22 (2(R+S)=22)
  R=5 S=7: area 35 (RS=35), perimeter 24 (2(R+S)=24)
  R=5 S=8: area 40 (RS=40), perimeter 26 (2(R+S)=26)
  R=6 S=1: area 6 (RS=6), perimeter 14 (2(R+S)=14)
  R=6 S=2: area 12 (RS=12), perimeter 16 (2(R+S)=16)
  R=6 S=3: area 18 (RS=18), perimeter 18 (2(R+S)=18)
  R=6 S=4: area 24 (RS=24), perimeter 20 (2(R+S)=20)
  R=6 S=5: area 30 (RS=30), perimeter 22 (2(R+S)=22)
  R=6 S=6: area 36 (RS=36), perimeter 24 (2(R+S)=24)
  R=6 S=7: area 42 (RS=42), perimeter 26 (2(R+S)=26)
  R=6 S=8: area 48 (RS=48), perimeter 28 (2(R+S)=28)
  R=7 S=1: area 7 (RS=7), perimeter 16 (2(R+S)=16)
  R=7 S=2: area 14 (RS=14), perimeter 18 (2(R+S)=18)
  R=7 S=3: area 21 (RS=21), perimeter 20 (2(R+S)=20)
  R=7 S=4: area 28 (RS=28), perimeter 22 (2(R+S)=22)
  R=7 S=5: area 35 (RS=35), perimeter 24 (2(R+S)=24)
  R=7 S=6: area 42 (RS=42), perimeter 26 (2(R+S)=26)
  R=7 S=7: area 49 (RS=49), perimeter 28 (2(R+S)=28)
  R=7 S=8: area 56 (RS=56), perimeter 30 (2(R+S)=30)
  R=8 S=1: area 8 (RS=8), perimeter 18 (2(R+S)=18)
  R=8 S=2: area 16 (RS=16), perimeter 20 (2(R+S)=20)
  R=8 S=3: area 24 (RS=24), perimeter 22 (2(R+S)=22)
  R=8 S=4: area 32 (RS=32), perimeter 24 (2(R+S)=24)
  R=8 S=5: area 40 (RS=40), perimeter 26 (2(R+S)=26)
  R=8 S=6: area 48 (RS=48), perimeter 28 (2(R+S)=28)
  R=8 S=7: area 56 (RS=56), perimeter 30 (2(R+S)=30)
  R=8 S=8: area 64 (RS=64), perimeter 32 (2(R+S)=32)
SUMMARY: PROOF STEP BY BRUTE FORCE on the rectangle count A=RS, P=2(R+S) (PR #8026): holds for all 1<=R,S<=8 by enumerating boundary links of the grid graph; pattern has purchase and the step holds as written
